n,time[ms]
1,29.7
101,26.1
201,26
301,36
401,26
501,26
601,28.9
701,26
801,26
901,26
1001,33.8
1101,26.5
1201,50.1
1301,26
1401,887.1
1501,31.9
1601,26.6
1701,26.2
1801,25.8
1901,27.2
2001,26.9
2101,27.9
2201,28
2301,22
2401,177.3
2501,29.5
2601,24
2701,23.9
2801,26.4
2901,31
3001,77.1
3101,22.5
3201,30.4
3301,32.3
3401,22.8
3501,22.7
3601,26.7
3701,25.6
3801,26.3
3901,27.5
4001,35.7
4101,22.8
4201,46
4301,24.6
4401,60.6
4501,41.8
4601,45.4
4701,22.3
4801,24
4901,23.2
