n,time[ms]
1,1606.3
101,813.4
201,833.9
301,1388
401,836.4
501,725.3
601,717
701,698
801,705.3
901,693.6
1001,692.2
1101,698.3
1201,691.4
1301,698.8
1401,702.4
1501,690.5
1601,705.9
1701,691.2
1801,786.9
1901,790.9
2001,809.6
2101,725.5
2201,698.2
2301,697.4
2401,703.5
2501,697.7
2601,693.5
2701,703.8
2801,709.5
2901,689.1
3001,699.3
3101,701.2
3201,699.4
3301,713.4
3401,693
3501,753.6
3601,812.8
3701,713.9
3801,712.7
3901,708.4
4001,691.4
4101,701.9
4201,694.1
4301,720.5
4401,692.3
4501,1043.9
4601,698
4701,689.8
4801,688.4
4901,689.4
