n,time[ms]
1,590.8
101,673.4
201,640
301,508.8
401,640.4
501,541.6
601,612.1
701,531.7
801,505.5
901,498
1001,533
1101,518.9
1201,857.4
1301,507.3
1401,578.3
1501,583.2
1601,522.1
1701,518
1801,522.3
1901,510
2001,500.7
2101,498.5
2201,537.5
2301,514.7
2401,508.6
2501,520.6
2601,616.1
2701,519.1
2801,589.2
2901,511.5
3001,523.1
3101,504.9
3201,520.3
3301,497.7
3401,524.5
3501,499.9
3601,511.7
3701,503.8
3801,503.1
3901,524.5
4001,497.6
4101,497.7
4201,497
4301,504.1
4401,498.1
4501,513.7
4601,513.7
4701,519.9
4801,501.9
4901,505.7
