n,time[ms]
1,177.4
101,201.7
201,202.4
301,227
401,191
501,172
601,138
701,145
801,124.3
901,119
1001,373.9
1101,105.4
1201,233.5
1301,102.3
1401,108.5
1501,115.9
1601,101.3
1701,103.7
1801,102.8
1901,105.1
2001,101.6
2101,103
2201,106.5
2301,103.6
2401,118.4
2501,101.8
2601,112.5
2701,195.2
2801,115.2
2901,121.7
3001,100.9
3101,100.7
3201,103.9
3301,101.2
3401,100.7
3501,105.6
3601,100.8
3701,101.4
3801,101
3901,105
4001,100.8
4101,101.7
4201,101.9
4301,105.9
4401,123.4
4501,124.7
4601,120.7
4701,100.4
4801,100.6
4901,100.7
