n,time[ms]
1,31.1
101,34.1
201,34.1
301,37.4
401,31.4
501,363.3
601,28.5
701,25.4
801,27.7
901,32.6
1001,30.7
1101,30.8
1201,32.9
1301,25.1
1401,25.8
1501,24.7
1601,26.5
1701,22.1
1801,180
1901,89.7
2001,28.7
2101,32.6
2201,27.1
2301,39
2401,29.1
2501,28.6
2601,30.5
2701,34.5
2801,29.1
2901,28.7
3001,26.3
3101,26.4
3201,28.3
3301,69.8
3401,31.4
3501,28.6
3601,25.9
3701,47.7
3801,47.7
3901,45
4001,62.4
4101,24.9
4201,28.7
4301,24.8
4401,26.5
4501,22
4601,22
4701,22
4801,23.4
4901,22
