n,time[ms]
1,240.2
101,207.1
201,199.4
301,317.5
401,226
501,248.1
601,164.9
701,322.5
801,198.7
901,700.6
1001,127.6
1101,122.2
1201,122.1
1301,129.3
1401,207.7
1501,122.4
1601,153.7
1701,132
1801,126
1901,127.2
2001,122.3
2101,124.2
2201,139.1
2301,152.6
2401,125.5
2501,133.9
2601,123.8
2701,124.6
2801,131.6
2901,145.5
3001,168.4
3101,140.5
3201,122
3301,132
3401,128.9
3501,122.7
3601,138.6
3701,155.1
3801,123
3901,131.1
4001,123
4101,136.6
4201,134.5
4301,122.9
4401,122.9
4501,134.5
4601,122.5
4701,122.1
4801,132.3
4901,142.1
