n,time[ms]
1,1.36729e+06
101,1.37234e+06
201,1.23701e+06
301,1.20978e+06
401,1.3553e+06
501,1.41274e+06
601,1.37338e+06
701,1.38444e+06
801,1.31496e+06
901,1.3859e+06
1001,1.34795e+06
1101,1.21465e+06
1201,1.27595e+06
1301,1.2429e+06
1401,1.25306e+06
1501,1.32019e+06
1601,1.23189e+06
1701,1.19067e+06
1801,1.22784e+06
1901,1.43588e+06
2001,1.3842e+06
2101,1.2639e+06
2201,1.25978e+06
2301,1.23142e+06
2401,1.32443e+06
2501,1.34343e+06
2601,1.25029e+06
2701,1.27578e+06
2801,1.46588e+06
2901,1.26758e+06
3001,1.17401e+06
3101,1.20599e+06
3201,1.20861e+06
3301,1.2274e+06
3401,1.26153e+06
3501,1.18354e+06
3601,1.17613e+06
3701,1.21125e+06
3801,1.18919e+06
3901,1.19561e+06
4001,1.17137e+06
4101,1.16209e+06
4201,1.2187e+06
4301,1.21632e+06
4401,1.17753e+06
4501,1.17494e+06
4601,1.16385e+06
4701,1.18905e+06
4801,1.1652e+06
4901,1.20972e+06
