n,time[ms]
1,306.4
101,281.8
201,248.8
301,223.8
401,186.6
501,188.4
601,163.8
701,147.4
801,152.6
901,134.5
1001,148.1
1101,132.2
1201,130.9
1301,135.4
1401,167.4
1501,129.7
1601,132.9
1701,124.6
1801,124.7
1901,128.4
2001,124.8
2101,128.1
2201,136.2
2301,128.1
2401,319.8
2501,125.4
2601,130.9
2701,130.6
2801,125
2901,125
3001,129.4
3101,124.7
3201,124.7
3301,277.2
3401,124.8
3501,136.6
3601,144.6
3701,126.4
3801,128.5
3901,124.5
4001,136.2
4101,132.5
4201,126.7
4301,128.5
4401,151.7
4501,125.5
4601,129.9
4701,136.6
4801,126.1
4901,148
