n,time[ms]
1,1019.6
101,751.7
201,704.2
301,647.7
401,658.7
501,625.5
601,638.5
701,635.3
801,553.5
901,520
1001,531.5
1101,523.6
1201,536.2
1301,557.5
1401,505.8
1501,510.2
1601,513
1701,511.8
1801,555
1901,523.6
2001,669.2
2101,528.1
2201,508.7
2301,534.9
2401,539.9
2501,511.2
2601,605.2
2701,560.2
2801,515.1
2901,571.8
3001,529.9
3101,562.9
3201,546.2
3301,536.5
3401,537
3501,538.1
3601,532
3701,628.6
3801,650.2
3901,557.1
4001,595
4101,607
4201,552
4301,579.1
4401,631.9
4501,656.1
4601,741.5
4701,639.2
4801,568.9
4901,562.9
