n,time[ms]
1,35.4
101,42.9
201,34.3
301,34.7
401,46.1
501,34.8
601,36.7
701,34.1
801,34.1
901,36.2
1001,34.5
1101,104.5
1201,36.9
1301,34.6
1401,37.3
1501,34.1
1601,34.5
1701,36.5
1801,45.5
1901,50.4
2001,34.2
2101,36.7
2201,29
2301,29.3
2401,32.3
2501,29
2601,29.4
2701,31.7
2801,29.1
2901,35.9
3001,107.7
3101,32.1
3201,29.3
3301,29
3401,126.4
3501,25
3601,328.1
3701,30.2
3801,22
3901,22.2
4001,22
4101,30.7
4201,22
4301,22.2
4401,22
4501,25.5
4601,26.9
4701,22
4801,27.8
4901,22.4
